AB009663	Cosmopolitan_B1.1.1
AB044824	Cosmopolitan_A1
AB085828	Cosmopolitan_A1.3.1
AB128149	Cosmopolitan_A1
AB362483	Cosmopolitan_A1.3.2
AB517659	Cosmopolitan_A1.3.2
AB517660	Cosmopolitan_A1.3.2
AB519641	Bat_B1.1
AB519642	Bat_B1.1
AB569299	Indian-Sub_B1
AB608731	Bat_C1
AB635373	Indian-Sub_B1
AB645847	Cosmopolitan_A1.3
AB699220	Arctic AL1a_A1
AB810256	Bats_A1
AB839169	Cosmopolitan_A1.3.1
AB839170	Cosmopolitan_A1.3.1
AB981663	Asian SEA3_A1
AB981664	Asian SEA3_A1
AF499686	Cosmopolitan Vac_A1.1
AY705373	Bat_C1
AY956319	Arctic AL1a_A1
CS614408	Vac_A1.1
DD161903	Cosmopolitan Vac_A1.1
DD161904	Cosmopolitan Vac_A1.1
DD161905	Cosmopolitan Vac_A1.1
DD161906	Cosmopolitan Vac_A1.1
DI035301	Cosmopolitan Vac_A1.1
DI043469	Cosmopolitan Vac_A1.1
DI046747	Cosmopolitan Vac_A1.1
DI084725	Cosmopolitan Vac_A1.1
DQ099524	Cosmopolitan_A1.3.1
DQ099525	Cosmopolitan_A1.3.1
DQ875050	Cosmopolitan_A1.3.1
DQ875051	Cosmopolitan_A1
EF206707	Vac_A1.1
EF206708	Vac_B1
EF206709	Cosmopolitan Vac_A1.1
EF206710	Vac_B1
EF206711	Vac_B1
EF206712	Vac_B1
EF206713	Vac_B1
EF206714	Vac_B1
EF206715	Cosmopolitan Vac_A1
EF206716	Cosmopolitan Vac_A1.1
EF206717	Vac_A1.2
EF206718	Vac_A1.2
EF206719	Cosmopolitan Vac_A1.1.1
EF206720	Vac_B1
EF437215	Arctic AL1a_A1
EF542830	Cosmopolitan_A1
EF564174	Asian_A1.1
EU182346	Vac_A1
EU182347	Vac_A1
EU293111	Asian SEA3_A1
EU293113	Bat_B1.1
EU293115	Cosmopolitan WE_A1
EU293116	Bat_B1
EU293121	Asian SEA3_A1.1
EU311738	RAC-SK_A1
EU549783	Asian SEA1b_B1
EU643590	Asian_A1.1.1
EU877067	Cosmopolitan Vac_A1.1
EU877068	Cosmopolitan Vac_A1.1
EU877069	Cosmopolitan Vac_A1.1
EU877070	Cosmopolitan Vac_A1.1
EU877071	Cosmopolitan Vac_A1.1
EU886631	Cosmopolitan Vac_A1
EU886632	Cosmopolitan Vac_A1.1
EU886633	Cosmopolitan Vac_A1.1
EU886634	Cosmopolitan Vac_A1.1
EU886635	Cosmopolitan Vac_A1.1
EU886636	Cosmopolitan Vac_A1
FJ577895	Cosmopolitan_A1.3.1
FJ712193	Asian SEA1b_A1.1.1
FJ712194	Asian SEA1b_A1.1.1
FJ712195	Asian_A1.1.1
FJ712196	Asian_A1.1.1
FJ866835	Asian SEA1b_B1
FJ866836	Asian SEA1b_B1
FJ913470	Vac_A1
FJ959397	Asian_A1.1
GQ412744	Cosmopolitan_A1
GQ918139	Cosmopolitan_A1.3.1
GU345746	Asian_A1.1
GU345747	Asian_A1.1
GU345748	Asian SEA1b_A1.1.1
GU358653	Asian_A1.1.1
GU565703	Cosmopolitan_A1.3.1
GU565704	Cosmopolitan_A1.3.1
GU647092	Asian_A1.1.1
HE802675	Arctic AL1a_A1
HE802676	Arctic AL1a_A1
HM535790	Cosmopolitan_A1.3.1
HQ317918	Asian_A1.1
HQ450385	Asian SEA1b_A1.1
HQ450386	Cosmopolitan AM2a_A1
HQ891318	Cosmopolitan_A1.3.1
JN234411	Cosmopolitan_A1
JN609295	Asian SEA1b_A1.1.1
JN786877	Asian SEA3_A1.1
JN786878	Asian SEA3_A1.1
JQ423952	Asian SEA1b_B1
JQ647510	Asian SEA1b_A1.1
JQ685892	Bats EF-W1_A1.2
JQ685893	Bats EF-W1_B1
JQ685894	Cosmopolitan_A1.3
JQ685895	Bat_C1
JQ685896	Bats EF-W1_A1.2
JQ685897	Bats EF-W1_A1.1
JQ685898	Bats EF-W1_A1.2
JQ685899	Cosmopolitan_A1.3.1
JQ685900	Bat_C1
JQ685901	RAC-SK_B1.1
JQ685902	Bat_C1
JQ685903	Bat_A1
JQ685904	Bats EF-W1_B1
JQ685905	Bat_B1.1
JQ685906	Bats EF-W1_B1
JQ685907	Bats EF-W1_A1
JQ685908	Bats EF-W1_A1.2
JQ685909	Bats EF-W1_A1.1
JQ685910	Bat_C1
JQ685911	Bats EF-W1_A1.1.1
JQ685912	Bats EF-W1_A1.2
JQ685913	Bats EF-W1_A1
JQ685914	Bat_A1
JQ685915	Bat_C1
JQ685916	Bat_C1
JQ685917	Bats EF-W1_A1.1
JQ685918	Bat_D1
JQ685919	Bat_C1
JQ685920	Bat_D1
JQ685921	Bat_D1
JQ685922	Bat_C1
JQ685923	Bats EF-W1_B1
JQ685924	Bat_A1
JQ685925	Bat_D1
JQ685926	Bats EF-W1_A1.1.1
JQ685927	Bats EF-W1_B1
JQ685928	Bats EF-W1_A1.2
JQ685929	RAC-SK_B1.1
JQ685930	Bats EF-W1_A1.1.1
JQ685931	Bat_A1
JQ685932	Bats EF-W1_B1
JQ685933	Bats EF-W1_A1.1
JQ685934	Bats EF-W1_A1.2
JQ685935	Bats EF-W1_B1
JQ685936	Bat_B1.1
JQ685937	Bats EF-W1_A1.2
JQ685938	RAC-SK_B1.1
JQ685939	Bats EF-W1_A1.2
JQ685940	Bats EF-W1_A1.1.1
JQ685941	Bats EF-W1_A1.2
JQ685942	Bat_A1
JQ685943	Cosmopolitan_A1.3.1
JQ685944	Cosmopolitan_A1.3
JQ685945	Bats EF-W1_A1.1
JQ685946	Bats EF-W1_A1
JQ685947	Bat_C1
JQ685948	Bat_A1
JQ685949	Bats EF-W1_B1
JQ685950	Bats EF-W1_A1.1
JQ685951	Bats EF-W1_A1
JQ685952	Bat_D1
JQ685953	Bat_B1.1
JQ685954	RAC-SK_B1.1
JQ685955	Bat_A1
JQ685956	Bats EF-W1_A1.1
JQ685957	Bat_D1
JQ685958	Bats EF-W1_B1
